Date,Sps,SapFlux_g_s_m2,SapFlow_cm3water_s,VPD_kPa,Avrg_VWC0_50,Hindex
2/17/2019,cepy,16.8979025,0.167170008,1.261460339,0.081111149,0.130545228
2/17/2019,cole,2.98724865,0.285907899,1.261460339,0.081111149,0.017249312
2/18/2019,cepy,17.45919846,0.177929027,1.038506062,0.092213308,0.160052088
2/18/2019,cole,2.703413059,0.268538622,1.038506062,0.092213308,0.025841586
2/19/2019,cepy,23.78122295,0.24578394,1.491341096,0.122511863,0.226288452
2/19/2019,cole,13.41722088,1.023289645,1.491341096,0.122511863,0.220941249
2/20/2019,cepy,30.12077257,0.313241591,1.93946591,0.1044865,0.331275655
2/20/2019,cole,15.34774155,1.105971264,1.93946591,0.1044865,0.27086979
2/21/2019,cepy,30.61204912,0.299016694,1.211096515,0.096522391,0.196204012
2/21/2019,cole,8.002379762,0.623275265,1.211096515,0.096522391,0.052530846
2/22/2019,cepy,21.99624224,0.219862195,1.248489757,0.095316339,0.172375248
2/22/2019,cole,5.509011691,0.415231728,1.248489757,0.095316339,0.022428852
2/23/2019,cepy,16.92264365,0.168980728,0.696477038,0.091698362,0.109339999
2/23/2019,cole,2.88085954,0.233970777,0.696477038,0.091698362,0.00402149
2/24/2019,cepy,21.40917089,0.21112793,1.0526548,0.103206494,0.191343505
2/24/2019,cole,14.16571789,1.167488689,1.0526548,0.103206494,0.146171423
2/25/2019,cepy,23.43852395,0.239867029,1.378412543,0.098271023,0.164666797
2/25/2019,cole,15.11946834,1.220285334,1.378412543,0.098271023,0.158445308
2/26/2019,cepy,23.5477237,0.244253979,1.309855221,0.091897493,0.172579512
2/26/2019,cole,7.589096667,0.813904342,1.309855221,0.091897493,0.068814784
2/27/2019,cepy,22.74692032,0.238573215,1.144600913,0.094773095,0.187408319
2/27/2019,cole,4.476169593,0.498750398,1.144600913,0.094773095,0.048291794
2/28/2019,cepy,23.49871433,0.245372043,1.70533451,0.088854143,0.244372439
2/28/2019,cole,3.466616575,0.354679474,1.70533451,0.088854143,0.038358118
3/1/2019,cepy,25.09621971,0.247681515,1.942745558,0.081910875,0.204255627
3/1/2019,cole,2.19810347,0.203452587,1.942745558,0.081910875,0.025090547
3/2/2019,cepy,25.16263268,0.248277554,1.930200265,0.081329937,0.242938615
3/2/2019,cole,1.973745646,0.168443368,1.930200265,0.081329937,0.022636041
3/3/2019,cepy,17.80967697,0.174012658,1.486616148,0.081185689,0.164924331
3/3/2019,cole,1.913689885,0.129238664,1.486616148,0.081185689,0.012583067
3/4/2019,cepy,14.45579384,0.138195596,0.933994591,0.08285682,0.091389229
3/4/2019,cole,2.887373572,0.148423987,0.933994591,0.08285682,0.006754856
